tech_stack
"['Databases', 'Django', 'SQL', 'Docker', 'GitHub', 'Git', 'Automated Testing', 'RESTful API', 'Integration testing', 'DevOps', 'Integration Testing', 'Agile']"
"['Django', 'SQL', 'NoSQL']"
"['Selenium', 'Automation', 'Git', 'Pytest', 'Jenkins']"
"['PyTorch', 'SQL', 'Git', 'PostgreSQL', 'MySQL', 'DevOps', 'TensorFlow', 'WebSocket']"
"['Databases', 'Version Control', 'MongoDB', 'REST API', 'Django', 'SQL', 'Code Review', 'SQLite', 'Git', 'PostgreSQL', 'Lean']"
"['SQL', 'Git', 'PostgreSQL', 'MySQL', 'WebSocket']"
"['Automation', 'Scrum', 'Jenkins', 'Agile']"
"['Flask', 'Celery', 'Machine Learning', 'SQL', 'Docker', 'Pytest', 'NoSQL']"
['Automation']
"['SQL', 'Git', 'MySQL']"
"['Version Control', 'Django', 'Code Review', 'Git', 'RESTful API']"
"['Databases', 'Version Control', 'Azure', 'REST API', 'Django', 'PyTorch', 'SQL', 'Code Review', 'Docker', 'Full-stack development', 'Git', 'Unit Testing', 'Containerization', 'NumPy', 'Unit testing', 'TensorFlow', 'Pandas']"
