tech_stack
"['Azure', 'Django', 'SQL', 'Docker', 'RESTful API', 'PostgreSQL', 'MySQL', 'Lean']"
[]
[]
"['Flask', 'Scrapy', 'Databases', 'MongoDB', 'Celery', 'Selenium', 'Machine Learning', 'Collaboration Tools', 'Docker', 'Automation', 'Kubernetes', 'Monitoring', 'FastAPI']"
"['Flask', 'MongoDB']"
"['Databases', 'SQL', 'PostgreSQL', 'Pyramid']"
"['REST API', 'Django', 'SQL', 'Git', 'PostgreSQL', 'MySQL']"
"['Databases', 'Version Control', 'MongoDB', 'REST API', 'Django', 'Code Quality', 'SQL', 'Docker', 'Automated Testing', 'PostgreSQL', 'Unit Testing', 'Scrum', 'Kubernetes', 'Unit testing', 'NoSQL', 'Lean', 'Agile']"
"['Databases', 'Version Control', 'MongoDB', 'REST API', 'Django', 'Code Quality', 'SQL', 'Docker', 'Automated Testing', 'PostgreSQL', 'Unit Testing', 'Scrum', 'Kubernetes', 'Unit testing', 'NoSQL', 'Lean', 'Agile']"
"['GraphQL', 'Celery', 'Django', 'SQL', 'Docker', 'GitHub', 'Git', 'PostgreSQL', 'Kubernetes', 'Pytest', 'FastAPI', 'DevOps']"
"['Version Control', 'GraphQL', 'API Gateway', 'Microservices', 'Git', 'RESTful API', 'Lambda Functions', 'Scalability', 'DevOps', 'Serverless', 'Lean', 'Agile']"
"['MongoDB', 'Celery', 'Django', 'Machine Learning', 'SQL', 'Docker', 'Data Science', 'Serverless Architecture', 'Kubernetes', 'Serverless', 'Jenkins', 'Deep Learning']"
"['Microservices', 'Docker', 'Git', 'Containerization', 'Agile']"
['Django']
"['Flask', 'Databases', 'Django', 'SQL', 'Monitoring']"
"['GitHub', 'Git', 'Lean', 'Agile']"
"['Spark', 'Machine Learning', 'Monitoring', 'Data Engineering', 'Jenkins']"
"['Django', 'SQL', 'Code Review', 'Docker', 'GitHub', 'Git', 'PostgreSQL', 'ELK Stack', 'Kubernetes']"
